epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,lr
1,1.7618714743123967,1.683269724241737,0.393893485607738,0.4159869494290375,0.3374841953342179,0.34500891892178914,0.3700391370913099,0.3856138267067256,0.001
2,1.55965412095104,1.5775928314513912,0.4564736044750029,0.456226209896683,0.4080476753976437,0.39659209586566996,0.4378466532283331,0.4304591160530562,0.001
3,1.4639373072487618,1.4212444143621996,0.4912014916676378,0.5193039695486678,0.4511669637017192,0.4861585423356393,0.4761778510416433,0.5035863970043276,0.001
4,1.3687992562170754,1.330950848883815,0.5235986481762033,0.5388798259923872,0.49761601629886903,0.5165832315637076,0.5127954143714084,0.5340723679151088,0.001
5,1.2892418826408507,1.356251889301941,0.5558792681505652,0.5154975530179445,0.5324151931011055,0.508082802858396,0.5465531477266302,0.5168148821415847,0.001
6,1.23241787177118,1.2411309601885914,0.5841976459620091,0.5698749320282762,0.5663962279464568,0.5424336164929459,0.577898173992313,0.5563633862694147,0.001
7,1.1768015668242424,1.1819891118043917,0.6026104183661578,0.5932572050027188,0.5886586186392199,0.5457903994353719,0.5977956420899061,0.5716840177525867,0.001
8,1.1364491990834817,1.1717244972023646,0.6165948024705745,0.6063077759651985,0.6029794423788276,0.5711669399385978,0.6125811900895218,0.5993493192203777,0.001
9,1.052143619021896,1.0529234417111022,0.6484092763081226,0.6470908102229472,0.6365431518516449,0.6289691559012918,0.6452012854617032,0.6412507659392513,0.001
10,1.0279932933078197,1.2620681170991999,0.6600629297284699,0.5715062533985862,0.6469493801937671,0.5861783191127218,0.6571489199378324,0.5839817740035262,0.001
11,0.9571031021802329,1.4415481427624668,0.6822048712271297,0.5312669929309407,0.6701222380509352,0.49875863475216964,0.6800230730502159,0.5204182622653124,0.001
12,0.9821439881436461,0.9676198624216259,0.6688031697937303,0.6574225122349103,0.6562060853434395,0.6347717600471138,0.6663122875225934,0.6482373090026561,0.001
