model_name,phase,params_trainable,best_epoch,best_val_macro_f1,train_seconds,lr,test_accuracy,test_macro_f1,test_weighted_f1,test_macro_precision,test_macro_recall
custom_cnn,improved,1175786,38,0.8012224506430501,2115.7178452014923,0.0006,0.7988036976617727,0.7783773526964463,0.7987077090323529,0.8028016738247056,0.7705879313940381
tiny_vit,improved,8632458,36,0.7350404515417972,3339.619040966034,0.0003,0.7036432843936922,0.6917722457857123,0.7038282520503649,0.7083093467887757,0.6839492966944085
