epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,lr
1,1.5242494242325513,1.00297898258315,0.5615895583265353,0.7618270799347472,0.496886462948731,0.7097740432628614,0.5410876812773081,0.7480363778398145,0.00029815325108927063
2,0.8698592379492989,0.694373617488577,0.781377461834285,0.8156606851549756,0.7487410306133683,0.7800631631596926,0.7753675061842475,0.8071684540478616,0.00029265847744427303
3,0.6754087443091127,0.5814312566162906,0.8154061298216991,0.8450244698205547,0.7952457589044719,0.8290529943664747,0.8121886446107575,0.8434594429388141,0.0002836509786282552
4,0.5854239602033915,0.5202101017224393,0.8340519752942548,0.8520935290918977,0.8195843886826524,0.8396139288016856,0.8320478573925907,0.8505470575710452,0.0002713525491562421
5,0.5289745216199588,0.4778958831292381,0.8465213844540264,0.8651441000543774,0.8341506982972661,0.8539904597583753,0.8452836409264145,0.8632780111798156,0.0002560660171779821
6,0.4974262976532507,0.458083640692868,0.8566600629297285,0.8640565524741708,0.8492720587720409,0.8531379257655631,0.8558924169666453,0.8630653362105701,0.000238167787843871
7,0.4710169647307041,0.4424703719500552,0.8582915744085771,0.8618814573137574,0.8492740915109639,0.8527209851341055,0.8573444247678494,0.8606377264594157,0.00021809857496093204
8,0.4494799353028633,0.42557864126917977,0.8657499125975994,0.8656878738444806,0.8575918723275869,0.8554160339622084,0.8650762119989704,0.8647448414616263,0.00019635254915624216
9,0.4355735716224064,0.4121850352691787,0.8681971798158723,0.8733007069059271,0.8595070359596105,0.8641332491167694,0.8677712680094466,0.8727503495727611,0.00017346516975603468
10,0.4259968436051882,0.41219300222889504,0.871576739307773,0.8705818379554106,0.8639517969321572,0.8616561887121378,0.8710383077844449,0.8698989344053358,0.00015000000000000001
11,0.42037833299951916,0.40423621276982,0.8716932758419764,0.8716693855356172,0.8644587577335372,0.8614950709151392,0.8709482714670232,0.8711668783988515,0.0001265348302439654
12,0.4117589281122385,0.39926889378328306,0.8751893718680807,0.8716693855356172,0.8667528793079683,0.8641247766068572,0.8744709969017574,0.871117699805321,0.0001036474508437579
13,0.40907733927461015,0.39712235929526474,0.8741405430602494,0.8716693855356172,0.866820690737421,0.8613434145244261,0.8736447367838986,0.8715766732573013,8.190142503906799e-05
14,0.4019537256419999,0.38625481321216604,0.8760051276075049,0.8716693855356172,0.8686121768991736,0.8624771169640022,0.8755191513480012,0.8711363243975999,6.183221215612905e-05
15,0.39709700083985444,0.38639210896235304,0.8763547372101154,0.8711256117455138,0.8698368764259413,0.8628686783300914,0.8758276710817917,0.8704645716476811,4.393398282201788e-05
16,0.3913041790449151,0.3857920234977324,0.8784523948257779,0.8749320282762371,0.8706094017260542,0.8664669323586847,0.8779783117744311,0.8745134119840597,2.86474508437579e-05
17,0.39992021798198424,0.3886288268660773,0.8728586411840112,0.8711256117455138,0.8664455458476759,0.8624239261440506,0.8722198991333949,0.871193238285262,1.6349021371744834e-05
18,0.39711523978127533,0.3823791753992949,0.8786854678941848,0.8754758020663403,0.8726803260264919,0.8677828187707174,0.8781372973340849,0.8754432154368058,7.341522555726972e-06
19,0.39345039703562296,0.38296713363612195,0.8782193217573709,0.8743882544861338,0.8715243279340349,0.8650850118172935,0.8777412144527523,0.8738861297172729,1.8467489107293517e-06
20,0.391594162112057,0.3839916473435863,0.8778697121547605,0.8711256117455138,0.8714301532531408,0.863140563454723,0.8774077871132947,0.8706974936980956,0.0
