epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,lr
1,0.6919839928692252,0.27673760032187084,0.7803286330264538,0.9091897770527461,0.7532813840899515,0.8992704312916139,0.7768993212875284,0.9087301104142967,9.938441702975689e-05
2,0.3437513145807531,0.22009394054117248,0.886376879151614,0.9249592169657422,0.8729868116094208,0.9183268604505941,0.8858851120661144,0.9244961346292468,9.755282581475769e-05
3,0.25745409978025097,0.22764635998441707,0.9173755972497378,0.9287656334964655,0.9072662692811286,0.9214320133403859,0.9171376054869937,0.9291342050095642,9.45503262094184e-05
4,0.21184379836921438,0.23779453542194917,0.9311269082857476,0.9293094072865687,0.9248637074342456,0.9238349025060225,0.9309984902012786,0.9296753235563538,9.045084971874738e-05
5,0.17900510685744783,0.2044925429757488,0.9452278289243677,0.9336595976073954,0.940958158317677,0.926327591450111,0.9451744240794455,0.9331478370745127,8.535533905932738e-05
6,0.15169884324726726,0.18992449224092442,0.9515208017713553,0.9374660141381186,0.9456115148455566,0.9311750972255185,0.9514353758126056,0.9377148375361029,7.938926261462366e-05
7,0.12168718050145565,0.20770023243786395,0.9613098706444471,0.9363784665579119,0.957783479492708,0.9310056755271866,0.9613096738051243,0.9361172340316023,7.269952498697734e-05
8,0.10909016150275723,0.18783944760929833,0.965505185875772,0.9358346927678086,0.9626823288544687,0.9290219122607771,0.9654693584029677,0.935542737012237,6.545084971874738e-05
9,0.08913917955657552,0.1931230714620618,0.9727304509963873,0.9412724306688418,0.9698151594663406,0.9347784154398147,0.9726901566337969,0.9415376469334081,5.782172325201156e-05
10,0.07990840104837377,0.18282326605412025,0.9723808413937769,0.9472539423599783,0.9704698248787906,0.942490812285447,0.9723909974305208,0.9470375646682353,5.000000000000001e-05
11,0.06689528938325992,0.17506836020084357,0.9784407411723576,0.9412724306688418,0.9762598299149621,0.9345915783804104,0.9784372676366855,0.9412136038895578,4.217827674798848e-05
12,0.05580097234078241,0.16772300158913464,0.982985666006293,0.9467101685698749,0.9812875100614044,0.9416490163243253,0.9829798658335123,0.946695672073804,3.454915028125264e-05
13,0.0499333556875623,0.1828495287389584,0.9854329332245659,0.9439912996193583,0.9845292695926593,0.9397819257393494,0.9854265150973038,0.9439309663041304,2.730047501302267e-05
14,0.04592243329084721,0.16860087417661657,0.9862486889639902,0.9516041326808048,0.9856536596467536,0.9463942337221848,0.9862336747612365,0.9516645400926237,2.0610737385376356e-05
15,0.03757644928067092,0.1697988931278031,0.9888124927164667,0.9467101685698749,0.987783074265085,0.9410754577005767,0.988811810033765,0.9466572970056333,1.464466094067263e-05
16,0.04197358343411181,0.17059234166320347,0.9872975177718215,0.9526916802610114,0.9863107425860713,0.9483969103276259,0.9872803555616806,0.9526695842637969,9.549150281252635e-06
17,0.033848957061705064,0.1593658497000985,0.9911432234005361,0.953779227841218,0.9901148630537226,0.9493569601777946,0.9911376851061834,0.9537502066360557,5.4496737905816115e-06
18,0.03157018170727951,0.15731489568413956,0.991376296468943,0.9516041326808048,0.9906060260697478,0.9473440449197843,0.9913750616303361,0.9515601680806643,2.4471741852423237e-06
19,0.029585513675383736,0.1594225212631827,0.9906770772637222,0.9499728113104948,0.9895717476339495,0.9454364081798013,0.9906780011192715,0.9499616107412447,6.155829702431171e-07
20,0.028724654922916287,0.1570763128519447,0.9928912714135881,0.9521479064709081,0.9926046910784173,0.9478864681962518,0.9928938022104735,0.9521389497529552,0.0
