epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,lr
1,1.2142514362019574,0.6860676082079018,0.7176319776249854,0.8586188145731376,0.6781794966847846,0.8357050554725681,0.714015690645834,0.8563346486955903,9.938441702975689e-05
2,0.5454780625971919,0.4536874226216974,0.8819484908518821,0.8961392060902664,0.8674643535085845,0.8850981450228934,0.8809243452367256,0.895820698325326,9.755282581475769e-05
3,0.3989476383326285,0.3673582413943323,0.903391213145321,0.912452419793366,0.8918605544543446,0.9063788434316511,0.9031081616452991,0.9122816940194928,9.45503262094184e-05
4,0.3368398893019798,0.32326686635102964,0.9110826244027502,0.921152800435019,0.9016107842937714,0.9154143674971257,0.910875563255532,0.9211030084956506,9.045084971874738e-05
5,0.29567151486199855,0.2961263453558517,0.9199394010022142,0.9293094072865687,0.9126697963512272,0.9240673669259746,0.9197715212966823,0.9293006972043647,8.535533905932738e-05
6,0.2734290584722136,0.2783075031814788,0.9251835450413705,0.9298531810766721,0.9171238258543744,0.924565985827752,0.9249851143674088,0.9298185188556185,7.938926261462366e-05
7,0.2567852153035258,0.26525236719276285,0.925300081575574,0.9320282762370854,0.9178230595537957,0.9267663742588667,0.9251424490040464,0.9320167895003169,7.269952498697734e-05
8,0.24386212511046507,0.2554719624164767,0.9297284698753059,0.933115823817292,0.9230817734303652,0.9276467790881255,0.929615158402231,0.9331420244116642,6.545084971874738e-05
9,0.23398188246847546,0.2483028957763076,0.9324088101619857,0.9347471451876019,0.926130661953907,0.9296431887019196,0.9323053818658255,0.9347922242498646,5.782172325201156e-05
10,0.22145500816986557,0.24279220093926895,0.9374198811327351,0.9352909189777052,0.9320497795571668,0.9302668260991946,0.9372886863108009,0.9352962228076334,5.000000000000001e-05
11,0.21453694788576938,0.23844656290292998,0.9368371984617178,0.9352909189777052,0.9314805338745178,0.9310322041880719,0.9367807370385808,0.9352707981746001,4.217827674798848e-05
12,0.2084965121390422,0.23525885861040846,0.9388183195431767,0.9374660141381186,0.9332696100465807,0.933809787218159,0.9386364936068247,0.937462515139192,3.454915028125264e-05
13,0.2054916774562544,0.23279375663759463,0.9377694907353455,0.9385535617183252,0.9325570468053573,0.9342232123559194,0.9376857121362425,0.938597268982727,2.730047501302267e-05
14,0.2024098526846625,0.23080039308763445,0.9416151963640601,0.9374660141381186,0.9363448246167845,0.9332853795843103,0.9415286111165185,0.9374560841430207,2.0610737385376356e-05
15,0.19839153612546329,0.22941177673009897,0.9410325136930427,0.9396411092985318,0.9362083724350553,0.9350998518343596,0.9409216123622172,0.9396754337442276,1.464466094067263e-05
16,0.1968919929267174,0.2284062523850609,0.9417317328982636,0.9385535617183252,0.9367361721830971,0.9339731061460318,0.941629220076849,0.9385529840838283,9.549150281252635e-06
17,0.19732296464048946,0.22787357380997558,0.9414986598298567,0.9374660141381186,0.9367387936081313,0.9330669130642434,0.9414688556256134,0.9374445363215732,5.4496737905816115e-06
18,0.19663948734273423,0.2275399228597446,0.9414986598298567,0.9385535617183252,0.9378280106402505,0.9340942788621837,0.9413796025415538,0.9385523879135056,2.4471741852423237e-06
19,0.19463792688299789,0.2273805354392159,0.9424309521034845,0.9390973355084284,0.9374698669102426,0.934631476148996,0.942262044259569,0.9391118304554583,6.155829702431171e-07
20,0.1932444212796068,0.22733656061958074,0.9451112923901643,0.9390973355084284,0.9406628951912855,0.934631476148996,0.9449903261090876,0.9391118304554583,0.0
