epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,lr
1,1.9796689672495655,1.8118056282522628,0.3177951287728703,0.40021750951604135,0.2528660746708208,0.32475273212920047,0.2869937437539859,0.35656655129754095,9.999999999999999e-05
2,1.7962114732591383,1.6495532993391326,0.4179000116536534,0.46275149537792276,0.362173658209982,0.4145058067865201,0.3957608407472086,0.4495789652418152,0.00019999999999999998
3,1.6971379476137587,1.5782304795427515,0.45612399487239247,0.5116911364872213,0.40647133080113856,0.44683504864410956,0.43823005054086434,0.4805389272581883,0.0003
4,1.5939800557438941,1.5178071625405125,0.4985432933224566,0.545405111473627,0.46254570119306193,0.5319875096962268,0.4851656463913249,0.5440541183196062,0.00029948664211731
5,1.5391099979071445,1.4927008083944024,0.5258128423260692,0.5475802066340403,0.4992048076295929,0.5299094605807605,0.5165976393367969,0.5426110230900064,0.00029795026722454843
6,1.490664826116283,1.4350075953806658,0.5465563454142873,0.5758564437194127,0.5225854530983518,0.5505750345973118,0.5382357964195134,0.5704365136844588,0.0002954019449380236
7,1.4472660238183528,1.4154115017501474,0.5738258944179,0.578031538879826,0.5543041793246936,0.5462126021056749,0.5680645763419613,0.564094176993356,0.0002918600359782045
8,1.4119329280806594,1.4710993435539714,0.5851299382356369,0.5666122892876564,0.5676472624024116,0.547986482070792,0.5790017049315869,0.5520537546303821,0.00028735005988030933
9,1.3739677765280227,1.3416075790751687,0.597249737792798,0.601957585644372,0.5818069382949972,0.5866435428779844,0.5919989861573627,0.5964306975328798,0.0002819045111254693
10,1.3392948226736443,1.3779744190518917,0.6126325603076564,0.5981511691136487,0.5999501213071394,0.5720073397300567,0.6086054656128617,0.5888868361143381,0.00027556262501724746
11,1.3088391221718498,1.3520865536306526,0.6254515790700385,0.6057640021750952,0.6117230109149727,0.5899784905097996,0.6219688741831313,0.6013579294882168,0.0002683700949903776
12,1.2791559137173876,1.2682437195344876,0.6411840111875072,0.6427406199021207,0.630541413048882,0.6294867663888732,0.6382538426752017,0.6361921541351535,0.0002603787433885197
13,1.2612679954620387,1.258723307200396,0.6471273744318844,0.6508972267536705,0.6330187990685615,0.6353234634268378,0.6436586592249404,0.6495772975688224,0.0002516461480830866
14,1.235488359459407,1.2668567145888476,0.6501573243211747,0.6378466557911908,0.638511484254856,0.6235353188595769,0.6476076205036161,0.6301178711805985,0.00024223522762336085
15,1.196808641738456,1.2413091466373694,0.6686866332595268,0.6514410005437737,0.6551251356120696,0.635900184145828,0.6655050834734451,0.6543188891716964,0.0002322137879069055
16,1.167322927137561,1.190394668750234,0.6843025288427922,0.6748232735182165,0.6714168097057847,0.6545526760420255,0.6822248204999709,0.6666907495412632,0.0002216540336365184
17,1.1485774894789262,1.1524937281211864,0.6943246707842908,0.6824361065796629,0.6852251353269616,0.6716786752740197,0.6924835261041545,0.6824008119819871,0.00021063204808369397
18,1.1327946223574714,1.1741769401971383,0.6993357417550402,0.6824361065796629,0.688516242555637,0.6683314639805478,0.6975046175111353,0.6800581417365538,0.00019922724490690843
19,1.1200081942006712,1.232537546061899,0.7003845705628715,0.6634040239260468,0.6927637443341244,0.6484343051062207,0.6991157961533453,0.6604751613859167,0.00018752179597439098
20,1.0819823709335545,1.1995493281853464,0.7141358815988812,0.6780859162588363,0.7048883731867545,0.6606822559995779,0.7130635718383311,0.6741993405335114,0.00017560003931393022
21,1.0614289783150592,1.1559355689365622,0.7264887542244494,0.6905927134312126,0.7188571978458531,0.674738142545185,0.7250450021201867,0.6893711042556891,0.00016354787145545112
22,1.0354307104193405,1.1352193897479639,0.7388416268500175,0.6943991299619359,0.7280974680352623,0.6804557449318502,0.7380558953555975,0.6914230969764227,0.00015145212854454887
23,1.016811222688897,1.139026374127179,0.7509614264071787,0.7036432843936922,0.7409397657893457,0.6885817602778248,0.7499359320366583,0.7004121013809679,0.00013939996068606977
24,0.9911278032670279,1.1433573154212988,0.7580701549935905,0.7139749864056553,0.7509947894072609,0.7035046620288206,0.7572039539860005,0.7126530177738971,0.000127478204025609
25,0.9719365773022057,1.1479679168469883,0.7682088334692926,0.7069059271343121,0.7625040546371621,0.694931114066023,0.7673717356330357,0.7040587877944893,0.00011577275509309156
26,0.9608654377274601,1.137433694717092,0.772753758303228,0.7069059271343121,0.7664114235127242,0.697883094052306,0.7719534543821117,0.7050251498735851,0.00010436795191630602
27,0.9365628731582788,1.1307344023723715,0.7844074117235753,0.7041870581837956,0.7773437926064692,0.7019823880960749,0.7835364258275652,0.7065788599005515,9.334596636348153e-05
28,0.9231924046837718,1.0987668363473673,0.7895350192285281,0.7270255573681349,0.7828977132230497,0.715278246922163,0.7889940279548823,0.7247587023176915,8.27862120930945e-05
29,0.9082658115056772,1.1084629190946935,0.7930311152546323,0.7232191408374117,0.7840465011827863,0.7115302810712432,0.7920755233150979,0.720669783452637,7.276477237663912e-05
30,0.8883116527282195,1.072686968321642,0.8059666705512178,0.7379010331702012,0.799711989110832,0.7300645974801108,0.805419070994748,0.7366075686577186,6.335385191691341e-05
31,0.8691138276797105,1.070849909803153,0.8103950588509498,0.7389885807504079,0.8024108620328873,0.7307262928025774,0.8098253174632973,0.7384269899609228,5.4621256611480265e-05
32,0.8494293554278468,1.0881550811178469,0.8225148584081109,0.7319195214790647,0.8162762183985315,0.7223756679297796,0.8222032819751776,0.7310345439989719,4.6629905009622395e-05
33,0.846550632375421,1.1001373550825757,0.8214660296002797,0.723762914627515,0.8155228387672135,0.7120354417640161,0.8208970665362797,0.7234156753510275,3.943737498275249e-05
34,0.8335197413666462,1.0705882349112814,0.828691294720895,0.7438825448613376,0.8227033345554755,0.7342100028415179,0.8283755276332994,0.7424466259520912,3.309548887453067e-05
35,0.8313390930109321,1.1044415259503877,0.8291574408577089,0.7226753670473083,0.8260769033838473,0.7121129302441126,0.8290899772352909,0.7212526100204866,2.764994011969065e-05
36,0.8183366745283187,1.0902509039805726,0.833119683020627,0.7433387710712344,0.8288321684513404,0.7350404515417972,0.8328679623732409,0.7420742521063233,2.31399640217955e-05
37,0.8103700740230957,1.1023222623537778,0.836848852115138,0.7330070690592714,0.8309397397897108,0.7224821713431634,0.8363888650258624,0.7309972810081888,1.9598055061976413e-05
38,0.8051182597184456,1.085850947249383,0.8374315347861555,0.7379010331702012,0.8311635876551284,0.7262366232768528,0.8369135275677774,0.736916098822617,1.7049732775451546e-05
39,0.8032343328909056,1.0954660011284243,0.8391795827992076,0.7433387710712344,0.8353260259216245,0.7326116290573007,0.8389462169989043,0.7416502665438062,1.551335788268997e-05
40,0.8017823801995324,1.0920139308076893,0.8450064095093812,0.7466014138118543,0.8387033720765633,0.7323124096203613,0.8445094470125573,0.7441976116987877,1.4999999999999999e-05
