epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,lr
1,1.1586421598241736,0.9397911942478364,0.7719380025638037,0.8977705274605764,0.7535484997901302,0.8898769273782451,0.7751781909846734,0.898830814318353,9.938441702975689e-05
2,0.8912965039970185,0.8719875990145228,0.8806665889756439,0.9260467645459489,0.8693468341769128,0.9180487681079604,0.8821306257331386,0.9259495538392086,9.755282581475769e-05
3,0.8226277524046014,0.8791964669925094,0.9127141358815989,0.9222403480152257,0.9034247245857621,0.9120652457472482,0.9134953304544152,0.9233675736201014,9.45503262094184e-05
4,0.7823779097165752,0.8781251962448087,0.9331080293672066,0.9189777052746058,0.927410997385809,0.9122059363610351,0.933304888932779,0.919514944238522,9.045084971874738e-05
5,0.7519248394182048,0.848561030130402,0.9447616827875539,0.9358346927678086,0.9404574684136776,0.9290696900715176,0.9450159687765304,0.9357973625990201,8.535533905932738e-05
6,0.7306166522334248,0.8410618140069994,0.9546672881948491,0.9287656334964655,0.950848841843483,0.9181065322637899,0.9547623333032245,0.9300261449681178,7.938926261462366e-05
7,0.7117239441603245,0.8322246128803624,0.9638736743969234,0.9380097879282219,0.9617971552759513,0.9334949871023539,0.9639020508126787,0.9379762264312365,7.269952498697734e-05
8,0.6963001133442314,0.8174233339350142,0.969700501107097,0.9429037520391517,0.9675629746916495,0.9378065945525227,0.9697172722336714,0.9428816225225652,6.545084971874738e-05
9,0.6817125569216759,0.8097485833481772,0.9748281086120498,0.945078847199565,0.9722042854803071,0.9399144119654255,0.974861418135744,0.9451746336098478,5.782172325201156e-05
10,0.6690541397315224,0.8071906182706323,0.9792564969117818,0.9461663947797716,0.9769261830613776,0.9380114653975561,0.9793018549706866,0.946551373867877,5.000000000000001e-05
11,0.6612300223340634,0.7952364781682034,0.9811210814590374,0.9456226209896683,0.980266212470501,0.9381804491060588,0.9811282844068723,0.9459130251204002,4.217827674798848e-05
12,0.6509541595278052,0.7930171347267282,0.9851998601561589,0.9505165851005981,0.9839257501067833,0.9442877272776709,0.9852246250206541,0.9506520679482343,3.454915028125264e-05
13,0.6451612456169123,0.7869328851606484,0.9865982985666006,0.9488852637302883,0.9858187009064023,0.9437956828929801,0.9865785455414741,0.9489611667648334,2.730047501302267e-05
14,0.6393997902887405,0.7846145550474776,0.9874140543060249,0.9532354540511148,0.9868664057356108,0.9495072698516134,0.987411062215317,0.9532963925008366,2.0610737385376356e-05
15,0.6338390196943711,0.7809869310919392,0.9909101503321291,0.9505165851005981,0.9904910950335063,0.9463122588205959,0.9909112175681196,0.9505378839166784,1.464466094067263e-05
16,0.6345623145360739,0.7805491294012956,0.9888124927164667,0.9516041326808048,0.9882888814213473,0.9480596815308205,0.9888076393368922,0.9515694016108028,9.549150281252635e-06
17,0.6315942877948514,0.7779040769301658,0.9923085887425708,0.9510603588907015,0.9913394758412368,0.9464625114556766,0.9923149237111724,0.9510390876651221,5.4496737905816115e-06
18,0.6282318914677071,0.7766122327445966,0.9924251252767743,0.9499728113104948,0.9920576124973509,0.9455398434790915,0.9924254578508165,0.9499296514944403,2.4471741852423237e-06
19,0.6255644876464321,0.7754491390969327,0.9931243444819952,0.9472539423599783,0.9930894626722143,0.9427769402727811,0.9931234955721817,0.9471953633836594,6.155829702431171e-07
20,0.6271274370019662,0.7752367431797237,0.9928912714135881,0.9526916802610114,0.991989319819621,0.9488077658888191,0.9929019073572228,0.9527046151301748,0.0
